recordType,unit,creationDate,startDate,endDate,value,day of week (numeric),day of week (string),month
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596230689,1596230715,27,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596231606,1596231825,55,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596233274,1596233630,54,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596234566,1596234916,75,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596237017,1596237404,237,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596239327,1596239887,132,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596240005,1596240604,449,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596240609,1596241177,528,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596242656,1596243244,470,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596243322,1596243435,92,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596244275,1596244874,684,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596244877,1596245463,610,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-31,1596245486,1596245726,195,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595542144,1595542147,4,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595543306,1595543899,105,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595543907,1595543922,27,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595545476,1595545750,85,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595547257,1595547365,72,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595549399,1595549414,28,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595550537,1595550886,143,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595551149,1595551152,2,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595551830,1595551958,23,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595553430,1595553540,116,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595554108,1595554121,25,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595557519,1595557578,23,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595561040,1595561638,120,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595561638,1595561674,31,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595568704,1595568707,9,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-23,1595569966,1595570304,73,3,Thursday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595578419,1595578440,30,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595619583,1595619872,23,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595620592,1595620594,8,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595622798,1595622900,99,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595624653,1595625121,228,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595627524,1595627649,156,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595629328,1595629875,122,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595635187,1595635312,53,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595641079,1595641114,56,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595641765,1595642346,24,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595643173,1595643752,76,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595644402,1595644757,70,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595648167,1595648177,27,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595650730,1595651331,265,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595651331,1595651909,209,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595652216,1595652218,22,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595655167,1595655200,20,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595656755,1595656763,17,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-24,1595659419,1595659425,19,4,Friday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595661375,1595661790,84,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595665094,1595665367,67,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595665746,1595666204,19,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595668084,1595668363,32,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595670865,1595671308,52,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595708105,1595708107,8,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595709126,1595709613,205,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595709820,1595710030,103,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595711812,1595712009,112,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595713893,1595713911,25,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595718176,1595718222,56,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595719030,1595719094,67,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595720465,1595720467,8,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595720478,1595720552,33,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595722204,1595722554,111,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595723087,1595723473,261,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595724631,1595725219,83,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595725347,1595725350,9,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595726322,1595726895,15,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595727278,1595727286,19,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595728443,1595728445,8,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595729225,1595729256,53,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595731580,1595732161,82,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595732573,1595732601,12,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595733770,1595733970,209,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595737915,1595738127,60,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595740167,1595740236,76,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595741199,1595741401,22,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595741854,1595741897,64,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595742491,1595742529,17,5,Saturday,7
